Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2025-07-03,LA.PIAZZA,Y,Y,14761405,14520983.46,146251.54,36420
2025-07-03,MKG,Y,Y,890650,882216.63,8433.37,0
2025-07-04,LA.PIAZZA,Y,Y,18924115,18610016.16,173053.84,105240
2025-07-04,MKG,Y,Y,1151300,1142737.56,8562.44,0
2025-07-05,LA.PIAZZA,Y,Y,37449655,36064422.12,288527.88,140800
2025-07-05,MKG,Y,Y,1352270,1340628.48,11641.52,0
2025-07-06,LA.PIAZZA,Y,Y,22575703,32536536.419999998,300064.58,144342
2025-07-06,MKG,Y,Y,1882320,1867060.26,15259.74,0
2025-07-07,LA.PIAZZA,Y,Y,9556855,9422821.63,101833.37,32200
2025-07-07,MKG,Y,Y,293370,291143.17,2226.83,0
2025-07-08,LA.PIAZZA,Y,Y,13034428,12777696.25,107751.75,48980
2025-07-08,MKG,Y,Y,959715,949746.58,9968.42,0
2025-07-09,LA.PIAZZA,Y,Y,14881405,14436375.08,149084.92,21000
2025-07-09,MKG,Y,Y,967055,960550.34,6504.66,0
2025-07-10,LA.PIAZZA,Y,Y,13446850,13223672.04,103907.96,75380
2025-07-10,MKG,Y,Y,522060,519180.6,2879.4,0
2025-07-11,LA.PIAZZA,Y,Y,13523500,13370804.19,85695.81,0
2025-07-11,MKG,Y,Y,986971,980591.78,6379.22,0
2025-07-12,LA.PIAZZA,Y,Y,29879165,29425894.52,250970.48,56400
2025-07-12,MKG,Y,Y,2582505,2562816.56,19688.44,0
2025-07-13,LA.PIAZZA,Y,Y,24878735,24058635.54,209249.46,108800
2025-07-13,MKG,Y,Y,1852917,1839847.88,13069.12,0
2025-07-14,LA.PIAZZA,Y,Y,12241335,12035443.35,114396.65,33920
2025-07-14,MKG,Y,Y,1373046,492051.52,2608.48,0
2025-07-15,LA.PIAZZA,Y,Y,10880440,10430353.29,89376.71,139600
2025-07-15,MKG,N,Y,0,868942.25,9443.75,0
2025-07-16,LA.PIAZZA,Y,Y,9154905,8759512.34,102096.66,186596
2025-07-16,MKG,Y,Y,1596081,1582251.49,13829.51,0
2025-07-17,LA.PIAZZA,Y,Y,14824455,14370192.7,117195.3,97802
2025-07-17,MKG,Y,Y,613975,608160.77,5814.23,0
2025-07-18,LA.PIAZZA,Y,Y,20151365,19046383.37,181991.63,37500
2025-07-18,MKG,Y,Y,1454520,1445515.07,9004.93,0
2025-07-19,LA.PIAZZA,Y,Y,31895830,31325356.94,325273.06,45200
2025-07-19,MKG,Y,Y,3472835,3444051.47,28783.53,0
2025-07-20,LA.PIAZZA,Y,Y,22006025,21381160.92,192544.08,85300
2025-07-20,MKG,Y,Y,3002018,2967162.66,34855.34,0
2025-07-21,LA.PIAZZA,Y,Y,14109930,13834514.83,141795.17,36600
2025-07-21,MKG,Y,Y,1027292,1020717.16,6574.84,0
2025-07-22,LA.PIAZZA,Y,Y,13329550,12659132.05,109152.95,154460
2025-07-22,MKG,Y,Y,526680,521905.54,4774.46,0
2025-07-23,LA.PIAZZA,Y,Y,15720515,15253983.33,171651.67,119320
2025-07-23,MKG,Y,Y,693000,684936.2,8063.8,0
2025-07-24,LA.PIAZZA,Y,Y,16066115,15635771.95,149173.05,23320
2025-07-24,MKG,Y,Y,729960,725606.25,4353.75,0
2025-07-25,LA.PIAZZA,Y,Y,21682495,21322872.25,124807.75,0
2025-07-25,MKG,Y,Y,1178663,1170350.2,8312.8,0
2025-07-26,LA.PIAZZA,Y,Y,28966670,28483841.57,272413.43,33700
2025-07-26,MKG,Y,Y,2718907,1995822.76,14069.24,0
2025-07-27,LA.PIAZZA,Y,Y,27020515,26586690.54,233144.46,53660
2025-07-27,MKG,Y,Y,2439362,3068811.72,28085.28,0
2025-07-28,LA.PIAZZA,Y,Y,5959093,5810049.84,52403.16,55040
2025-07-28,MKG,Y,Y,1079302,1065913.28,13388.72,0
2025-07-28,SMS,Y,Y,1245445,0,8718.1,0
2025-07-29,LA.PIAZZA,Y,Y,18419078,12260284.48,126880.52,17380
2025-07-29,MKG,Y,Y,918781,911503.7,7277.3,0
2025-07-29,SMS,Y,Y,2321065,0,17601.15,0
2025-07-30,LA.PIAZZA,Y,Y,15633335,14601039.85,152824.15,268651
2025-07-30,MKG,Y,Y,863955,813439.27,6625.73,0
2025-07-30,SMS,Y,Y,1975050,0,13854.87,0
2025-07-31,LA.PIAZZA,Y,Y,16675240,16400996.73,175583.27,67040
2025-07-31,MKG,Y,Y,1091896,1083787.37,8108.63,0
2025-07-31,SMS,Y,N,1415150,0,0,0
2025-08-01,LA.PIAZZA,Y,N,20490215,0,0,0
2025-08-01,MKG,Y,Y,1133330,1122954.96,10375.04,0
2025-08-01,SMS,Y,Y,1459920,0,22377.73,0
2025-08-02,LA.PIAZZA,Y,N,25166830,0,0,0
2025-08-02,MKG,Y,Y,2223006,2203859.29,19146.71,0
2025-08-02,SMS,Y,Y,4106025,0,35962.7,0
2025-08-03,LA.PIAZZA,Y,N,20694745,0,0,0
2025-08-03,MKG,Y,Y,1836025,1819652.33,16372.67,0
2025-08-03,SMS,Y,Y,4867725,0,39092.1,0
2025-08-04,LA.PIAZZA,Y,N,10357695,0,0,0
2025-08-04,MKG,Y,Y,1459632,1446897.32,12734.68,0
2025-08-04,SMS,Y,Y,497805,0,3484.63,0
2025-08-05,LA.PIAZZA,Y,N,11654010,0,0,0
2025-08-05,MKG,Y,Y,567152,562893.43,4258.57,0
2025-08-05,SMS,Y,Y,1037745,0,8194.93,0
2025-08-06,LA.PIAZZA,Y,N,10726370,0,0,0
2025-08-06,MKG,Y,Y,235886,234592.01,1293.99,0
2025-08-06,SMS,Y,Y,642180,0,3802.83,0
2025-08-07,LA.PIAZZA,Y,N,11336875,0,0,0
2025-08-07,MKG,Y,Y,548891,544764.64,4126.36,0
2025-08-07,SMS,Y,Y,371910,0,3128.39,0
2025-08-08,LA.PIAZZA,Y,Y,16811975,16436703.3,146818.7,48273
2025-08-08,MKG,Y,Y,1209840,1200425.67,9414.33,0
2025-08-08,SMS,Y,Y,693595,0,4855.16,0
2025-08-09,LA.PIAZZA,Y,Y,28896385,28493661.85,262953.15,16420
2025-08-09,MKG,Y,Y,3044495,3020656.91,23838.09,0
2025-08-09,SMS,Y,Y,1931765,0,17109.97,0
2025-08-10,LA.PIAZZA,Y,Y,20267175,20148714.67,163080.33,55380
2025-08-10,MKG,Y,Y,2167335,2150614.8,16720.2,0
2025-08-10,SMS,Y,Y,2230625,0,18286.24,0
2025-08-11,LA.PIAZZA,Y,Y,9918475,9718227.75,104067.25,96180
2025-08-11,MKG,Y,Y,869146,861939.99,7206.01,0
2025-08-11,SMS,Y,Y,241395,0,1689.76,0
2025-08-12,LA.PIAZZA,Y,Y,8118410,7983406.81,96983.19,38020
2025-08-12,MKG,N,Y,0,970281.98,7397.02,0
2025-08-12,SMS,Y,Y,723030,0,4387.84,0
2025-08-13,LA.PIAZZA,Y,Y,11384890,11260938.64,123951.36,0
2025-08-13,MKG,Y,Y,796450,790874.85,5575.15,0
2025-08-13,SMS,Y,Y,287595,0,2958.81,0
2025-08-14,LA.PIAZZA,Y,Y,9396975,9281566.82,85708.18,29700
2025-08-14,MKG,Y,Y,1350750,1340688.56,10061.44,0
2025-08-14,SMS,Y,Y,992100,0,8496.54,0
2025-08-15,LA.PIAZZA,Y,Y,14275800,14088573.07,144966.93,42260
2025-08-15,MKG,Y,Y,853545,848649.54,4895.46,0
2025-08-15,SMS,Y,Y,740630,0,5184.4,0
2025-08-16,LA.PIAZZA,Y,Y,20842275,20710403.58,203651.42,24220
2025-08-16,MKG,Y,Y,2949693,2923903.22,25789.78,0
2025-08-16,SMS,Y,Y,2956515,0,28689,0
2025-08-17,LA.PIAZZA,Y,Y,27292639,17079759.53,0,0
2025-08-17,MKG,Y,Y,1662577,1724223.83,12273.17,0
2025-08-17,SMS,Y,Y,2557825,0,20584.61,0
2025-08-18,LA.PIAZZA,Y,Y,17197420,27857138.44,329955.56,41060
2025-08-18,MKG,Y,Y,1570710,1557476.06,13233.94,0
2025-08-18,SMS,Y,Y,758835,0,4626.92,0
2025-08-19,LA.PIAZZA,Y,Y,9133680,9059366.2,80198.8,99220
2025-08-19,MKG,Y,Y,751032,741806.7,9225.3,0
2025-08-19,SMS,Y,Y,494340,0,2386.8,0
2025-08-20,LA.PIAZZA,Y,Y,15372335,15110276.34,168973.66,57280
2025-08-20,MKG,Y,Y,463421,458168.4,5252.6,0
2025-08-20,SMS,Y,Y,1072995,0,9794.38,0
2025-08-21,LA.PIAZZA,Y,Y,10755640,10348763.11,90186.89,48340
2025-08-21,MKG,Y,Y,604331,599805.7,4525.3,0
2025-08-21,SMS,Y,Y,330330,0,2863.44,0
2025-08-22,LA.PIAZZA,Y,Y,18492655,18208951.59,164493.41,66060
2025-08-22,MKG,Y,Y,988697,979354.95,9342.05,0
2025-08-22,SMS,Y,Y,517320,0,2577.96,25000
2025-08-23,LA.PIAZZA,Y,Y,28574440,28038162.31,230017.69,56260
2025-08-23,MKG,Y,Y,2328162,2310311.27,17850.73,0
2025-08-23,SMS,Y,Y,2084580,127280,15376.22,21520
2025-08-24,LA.PIAZZA,Y,Y,22937705,22646183.5,214741.5,76780
2025-08-24,MKG,Y,Y,2610300,2591007.77,19292.23,0
2025-08-24,SMS,Y,Y,0,30800,11278.57,13600
2025-08-25,LA.PIAZZA,Y,Y,9887415,9663408.74,70351.26,101680
2025-08-25,MKG,Y,Y,579810,575973.69,3836.31,0
2025-08-25,SMS,Y,Y,419265,0,3459.88,0
2025-08-26,LA.PIAZZA,Y,Y,12756665,12503872.41,134512.59,118280
2025-08-26,MKG,Y,Y,516285,475066.32,5413.68,0
2025-08-26,SMS,Y,Y,334950,0,2869.67,0
2025-08-27,LA.PIAZZA,Y,Y,11593970,11453687.43,113962.57,26320
2025-08-27,MKG,Y,Y,872695,866451.01,6243.99,0
2025-08-27,SMS,Y,Y,546975,41280,2424.33,35320
2025-08-28,LA.PIAZZA,Y,Y,20189970,19323968.69,189716.31,35800
2025-08-28,MKG,Y,Y,629741,625332.82,4408.18,0
2025-08-28,SMS,Y,Y,585585,0,3654.41,0
2025-08-29,LA.PIAZZA,Y,Y,17317715,16953899.79,156363.21,149702
2025-08-29,MKG,Y,Y,1199165,1185282.62,13882.38,0
2025-08-29,SMS,Y,Y,747720,58560,21146.1,0
2025-08-30,LA.PIAZZA,Y,Y,26716400,26141091.05,200458.95,94600
2025-08-30,MKG,Y,Y,2215930,2196978.13,18951.87,0
2025-08-30,SMS,Y,Y,0,0,9780.32,14920
2025-08-31,LA.PIAZZA,Y,Y,16253930,15680419.17,149695.83,163300
2025-08-31,MKG,Y,Y,1590960,1578739.23,12220.77,0
2025-08-31,SMS,Y,Y,942960,59520,22149.53,0
2025-09-01,LA.PIAZZA,Y,Y,10715130,10343766.37,70581.63,100782
2025-09-01,MKG,Y,Y,808500,801441.14,7058.86,0
2025-09-01,SMS,Y,Y,584430,0,5477.96,0
2025-09-02,LA.PIAZZA,Y,Y,11059360,10907496.48,87163.52,64700
2025-09-02,MKG,Y,Y,350635,347850.03,2784.97,0
2025-09-02,SMS,Y,Y,295740,0,1538.42,25960
2025-09-03,LA.PIAZZA,Y,Y,14637255,14270333.93,146836.07,49660
2025-09-03,MKG,Y,Y,757080,752225.13,4854.87,0
2025-09-03,SMS,Y,Y,373340,0,2206.81,0
2025-09-04,LA.PIAZZA,Y,Y,20946020,20533133.87,165286.13,172795
2025-09-04,MKG,Y,Y,788865,782536.69,6328.31,0
2025-09-04,SMS,Y,Y,713305,0,5916.1,0
2025-09-05,LA.PIAZZA,Y,Y,25036355,24400501.79,236988.21,25800
2025-09-05,MKG,Y,Y,3491635,3466973.87,24661.13,0
2025-09-05,SMS,Y,Y,1508430,0,11529.2,0
2025-09-06,LA.PIAZZA,Y,Y,19151675,19155079.55,190370.45,24520
2025-09-06,MKG,Y,Y,2129335,2108387.13,20947.87,0
2025-09-06,SMS,Y,Y,1476365,0,12390.9,0
2025-09-07,LA.PIAZZA,Y,Y,22576595,22313163.78,201206.22,21800
2025-09-07,MKG,Y,Y,1674585,1661592.02,12992.98,0
2025-09-07,SMS,Y,Y,1370500,0,10137.5,0
2025-09-08,LA.PIAZZA,Y,Y,13196220,12829925.28,109794.72,101000
2025-09-08,MKG,Y,Y,572880,568389.57,4490.43,0
2025-09-08,SMS,Y,Y,464310,0,4000.91,0
2025-09-09,LA.PIAZZA,Y,Y,10035245,9813599.4,105415.6,116230
2025-09-09,MKG,Y,Y,792045,786010.69,6034.31,0
2025-09-09,SMS,Y,Y,385770,0,3917.45,0
2025-09-10,LA.PIAZZA,Y,Y,9175095,8984833.09,79741.91,110520
2025-09-10,MKG,Y,Y,808775,802440.32,6334.68,0
2025-09-10,SMS,Y,Y,218965,0,1532.75,0
2025-09-11,LA.PIAZZA,Y,Y,9865605,9626529.09,95885.91,86340
2025-09-11,MKG,Y,Y,509355,505248.13,4106.87,0
2025-09-11,SMS,Y,Y,83160,0,582.12,0
2025-09-12,LA.PIAZZA,Y,Y,14817600,14613798.17,138351.83,7700
2025-09-12,MKG,Y,Y,989835,980564.42,9270.58,0
2025-09-12,SMS,Y,Y,36960,0,258.72,0
2025-09-13,LA.PIAZZA,Y,Y,27123580,26723980.75,246964.25,43760
2025-09-13,MKG,Y,Y,1804735,1790068.89,14666.11,0
2025-09-13,SMS,N,Y,0,0,9006.52,0
2025-09-14,LA.PIAZZA,Y,Y,24608345,24253690.16,219234.84,135420
2025-09-14,MKG,Y,Y,2723645,2697371.97,26273.03,0
2025-09-14,SMS,Y,Y,1336335,0,13045.81,0
2025-09-15,LA.PIAZZA,Y,Y,15217500,14981824.93,166861.07,49164
2025-09-15,MKG,Y,Y,560175,556135.4,4039.6,0
2025-09-15,SMS,Y,Y,162150,0,900,0
2025-09-16,LA.PIAZZA,Y,Y,10627160,10431378.78,82721.22,113060
2025-09-16,MKG,Y,Y,202125,200710.13,1414.87,0
2025-09-16,SMS,Y,Y,405680,0,2738.69,0
2025-09-17,LA.PIAZZA,Y,Y,8674535,8488240.04,90787.96,55082
2025-09-17,MKG,Y,Y,493185,489732.71,3452.29,0
2025-09-17,SMS,Y,Y,237930,0,1665.51,0
2025-09-18,LA.PIAZZA,Y,Y,7416010,7326531.62,62596.38,26882
2025-09-18,MKG,Y,Y,455070,452106.87,2963.13,0
2025-09-18,SMS,Y,Y,139755,0,978.28,0
2025-09-19,LA.PIAZZA,Y,Y,15507390,15329310.81,132429.19,31600
2025-09-19,MKG,Y,Y,489965,483604.54,6360.46,0
2025-09-19,SMS,Y,Y,658145,49920,4580.21,12480
2025-09-20,LA.PIAZZA,Y,Y,21069845,20725095.17,201639.83,71060
2025-09-20,MKG,Y,Y,2061830,2043916.63,17913.37,0
2025-09-20,SMS,Y,Y,1031415,0,6634.85,0
2025-09-21,LA.PIAZZA,Y,Y,30100203,29192453.31,303979.69,151040
2025-09-21,MKG,Y,Y,2679875,2657545.88,22329.12,0
2025-09-21,SMS,Y,Y,1457045,133600,10797.38,33400
2025-09-22,LA.PIAZZA,Y,Y,12220900,11961814.52,130775.48,81440
2025-09-22,MKG,N,Y,0,390923.41,4086.59,0
2025-09-22,SMS,Y,Y,143220,0,1002.53,0
2025-09-23,LA.PIAZZA,Y,Y,11020120,10870514.71,99505.29,50100
2025-09-23,MKG,N,Y,0,760176.85,5978.15,0
2025-09-23,SMS,Y,Y,276045,0,1932.31,0
2025-09-24,LA.PIAZZA,Y,Y,7377565,7153443.87,65941.13,102740
2025-09-24,MKG,Y,Y,456225,453125.57,3099.43,0
2025-09-24,SMS,Y,Y,121275,0,848.92,0
2025-09-25,LA.PIAZZA,Y,Y,10850188,10664737.36,97450.64,56000
2025-09-25,MKG,Y,Y,950840,944481.62,6358.38,0
2025-09-25,SMS,Y,Y,470115,49920,14971.9,0
2025-09-26,LA.PIAZZA,Y,Y,15572300,15297027.69,173047.31,15600
2025-09-26,MKG,Y,Y,1077800,1071201.69,6598.31,0
2025-09-26,SMS,Y,Y,676830,0,5875.55,0
2025-09-27,LA.PIAZZA,Y,Y,20640285,20231292.2,180612.8,78380
2025-09-27,MKG,Y,Y,2181675,2165581.5,16093.5,0
2025-09-27,SMS,Y,Y,759475,0,5316.32,0
2025-09-28,LA.PIAZZA,Y,Y,29235905,28610107.84,275377.16,7200
2025-09-28,MKG,Y,Y,1371305,1359849.21,11455.79,0
2025-09-28,SMS,Y,Y,1644510,0,11708.04,0
2025-09-29,LA.PIAZZA,Y,Y,9751515,9483264.34,107535.66,52320
2025-09-29,MKG,Y,Y,720205,714232.85,5972.15,0
2025-09-29,SMS,Y,Y,332640,0,2221.63,0
2025-09-30,LA.PIAZZA,Y,Y,11007055,10711413.21,76171.79,100020
2025-09-30,MKG,Y,Y,736290,731669.59,4620.41,0
2025-09-30,SMS,Y,Y,330330,0,2312.3,0
2025-10-01,LA.PIAZZA,Y,Y,16392370,16088768.26,206301.74,97300
2025-10-01,MKG,Y,Y,552090,546703.02,5386.98,0
2025-10-01,SMS,Y,Y,233310,0,1633.17,0
2025-10-02,LA.PIAZZA,Y,Y,13762165,13417523.64,121736.36,73240
2025-10-02,MKG,Y,Y,889490,880425.66,9064.34,0
2025-10-02,SMS,Y,Y,656040,0,2851.99,0
2025-10-03,LA.PIAZZA,Y,Y,22469950,22123461.46,174858.54,100020
2025-10-03,MKG,Y,Y,716375,711781.33,4793.67,0
2025-10-03,SMS,Y,Y,1284370,0,4960.65,0
2025-10-04,LA.PIAZZA,Y,Y,32761930,32171437.91,273345.09,184147
2025-10-04,MKG,Y,Y,2797970,2777633.99,20336.01,0
2025-10-04,SMS,Y,Y,1516700,0,6608.44,0
2025-10-05,LA.PIAZZA,Y,Y,24700400,24409701.02,217668.98,56380
2025-10-05,MKG,Y,Y,1615010,1602631.38,12378.62,0
2025-10-05,SMS,Y,Y,2383900,0,8007.2,48760
2025-10-06,LA.PIAZZA,Y,N,10507215,0,0,0
2025-10-06,MKG,Y,Y,503580,500493.27,3086.73,0
2025-10-06,SMS,Y,Y,304920,0,1067.21,0
2025-10-07,LA.PIAZZA,Y,Y,9460485,9272516.82,108028.18,79940
2025-10-07,MKG,Y,Y,487410,483729.71,3680.29,0
2025-10-07,SMS,Y,Y,713520,0,1622.31,26000
2025-10-08,LA.PIAZZA,Y,Y,12747015,12552347.11,148987.89,45680
2025-10-08,MKG,Y,Y,546315,541970.63,4344.37,0
2025-10-08,SMS,Y,Y,642180,0,2025.28,0
2025-10-09,LA.PIAZZA,Y,Y,16463375,16149638.09,173396.91,49940
2025-10-09,MKG,Y,Y,808945,803282.4,5662.6,0
2025-10-09,SMS,Y,Y,807390,37440,2498.26,9360
2025-10-10,LA.PIAZZA,Y,Y,15183635,14518918.18,259963.64,95760
2025-10-10,MKG,Y,Y,962115,955380.2,6734.8,0
2025-10-10,SMS,Y,Y,366805,0,3463.51,0
2025-10-11,LA.PIAZZA,Y,Y,27672020,26930440.18,240494.82,60200
2025-10-11,MKG,Y,Y,2453215,2433554.33,19660.67,0
2025-10-11,SMS,Y,Y,1345715,0,11161.14,0
2025-10-12,LA.PIAZZA,Y,Y,19761245,19466460.88,162144.12,132640
2025-10-12,MKG,Y,Y,2276295,2255136.91,21158.09,0
2025-10-12,SMS,Y,Y,787710,0,6509.95,0
2025-10-13,LA.PIAZZA,Y,Y,9586790,9377195.18,88319.82,0
2025-10-13,MKG,Y,Y,728805,720129.61,8675.39,0
2025-10-13,SMS,Y,Y,1295190,58560,23944.67,0
2025-10-14,LA.PIAZZA,Y,Y,12787145,12167948.64,119406.36,38640
2025-10-14,MKG,Y,Y,1081470,1366428.11,12396.89,0
2025-10-14,SMS,Y,Y,214275,0,1172.32,10360
2025-10-15,LA.PIAZZA,Y,Y,11642750,11208831.92,123208.08,90560
2025-10-15,MKG,Y,Y,532455,528727.83,3727.17,0
2025-10-15,SMS,Y,Y,206745,0,2003.07,0
2025-10-16,LA.PIAZZA,Y,Y,11222450,11000648.42,103881.58,117920
2025-10-16,MKG,Y,Y,1172690,1161961.55,10728.45,0
2025-10-16,SMS,Y,Y,380270,0,2661.88,0
2025-10-17,LA.PIAZZA,Y,Y,14435440,14408327.88,160872.12,74140
2025-10-17,MKG,Y,Y,889905,882339.11,7565.89,0
2025-10-17,SMS,Y,Y,1072860,0,9356.55,0
2025-10-18,LA.PIAZZA,Y,Y,37116295,36738379.77,327688.23,0
2025-10-18,MKG,Y,Y,1908795,1898277.05,10517.95,0
2025-10-18,SMS,Y,Y,699930,0,5303.82,0
2025-10-19,LA.PIAZZA,Y,Y,22235260,22080584.25,235620.75,70000
2025-10-19,MKG,Y,Y,2736305,2715544.58,20760.42,0
2025-10-19,SMS,Y,Y,1362025,0,12617.64,0
2025-10-20,LA.PIAZZA,N,Y,0,12382147.42,121987.58,6820
2025-10-20,MKG,Y,Y,827580,818994.76,8585.24,0
2025-10-20,SMS,Y,N,121275,0,0,0
2025-10-21,LA.PIAZZA,Y,Y,12788575,12230619.33,115040.67,6820
2025-10-21,MKG,Y,Y,845460,840174.15,5285.85,0
2025-10-21,SMS,Y,Y,92400,0,646.79,0
2025-10-22,GOJEK,N,N,0,0,0,0
2025-10-22,LA.PIAZZA,Y,Y,8606005,8417425.8,88579.2,0
2025-10-22,MKG,Y,Y,1156680,798913.14,5491.86,0
2025-10-22,SMS,Y,Y,431460,0,2684.21,0
2025-10-23,GOJEK,N,N,0,0,0,0
2025-10-23,LA.PIAZZA,Y,Y,12239605,11574439.18,105140.82,126900
2025-10-23,MKG,Y,Y,1303230,531138.8,5936.2,0
2025-10-23,SMS,Y,Y,391060,0,3262.43,0
2025-10-24,GOJEK,N,N,0,0,0,0
2025-10-24,LA.PIAZZA,Y,Y,12046685,11281671.88,88643.12,186280
2025-10-24,MKG,Y,Y,1201535,1192237.38,9297.62,0
2025-10-24,SMS,Y,Y,375130,0,3662.04,0
2025-10-25,LA.PIAZZA,Y,Y,28416670,27993582.45,307487.55,15600
2025-10-25,MKG,Y,Y,2081630,2067953.62,13676.38,0
2025-10-25,SMS,Y,Y,1753615,0,13463.59,0
2025-10-26,LA.PIAZZA,Y,Y,25676873,24898220.38,256652.62,22000
2025-10-26,MKG,Y,Y,1992375,1976205.1,16169.9,0
2025-10-26,SMS,Y,Y,858835,41280,7918.05,10320
2025-10-27,GOJEK,N,N,0,0,0,0
2025-10-27,LA.PIAZZA,Y,Y,6878020,6735146.54,66913.46,60960
2025-10-27,MKG,Y,Y,680730,676362.68,4367.32,0
2025-10-27,SMS,Y,Y,515075,0,4940.72,0
2025-10-28,GOJEK,N,N,0,0,0,0
2025-10-28,LA.PIAZZA,Y,Y,12850895,12625174.9,137340.1,88380
2025-10-28,MKG,Y,Y,724460,719388.79,5071.21,0
2025-10-28,SMS,Y,Y,84315,0,590.2,0
2025-10-29,GOJEK,N,N,0,0,0,0
2025-10-29,LA.PIAZZA,Y,Y,10133320,9903037.37,95662.63,76960
2025-10-29,MKG,Y,Y,314160,311739.13,2420.87,0
2025-10-29,SMS,Y,Y,261030,0,2835.88,0
2025-10-30,GOJEK,N,N,0,0,0,0
2025-10-30,LA.PIAZZA,Y,Y,7045370,6872019.66,72700.34,70300
2025-10-30,MKG,Y,Y,519750,516346.8,3403.2,0
2025-10-30,SMS,Y,Y,373340,0,4043.37,0
2025-10-31,GOJEK,N,N,0,0,0,0
2025-10-31,LA.PIAZZA,Y,Y,12883910,12569410.27,108699.73,102800
2025-10-31,MKG,Y,N,1384125,0,0,0
2025-10-31,SMS,Y,Y,541695,0,3270.95,0
2025-11-01,LA.PIAZZA,Y,Y,32298625,31818833.3,278011.7,79980
2025-11-01,MKG,Y,Y,1649340,1638420.46,10919.54,0
2025-11-01,SMS,Y,Y,1149380,0,8103.98,0
2025-11-02,LA.PIAZZA,Y,Y,24913465,24659492.42,234172.58,19800
2025-11-02,MKG,Y,Y,2239545,2222102,17443,0
2025-11-02,SMS,Y,Y,1438645,0,9959.89,0
2025-11-03,LA.PIAZZA,Y,Y,8439905,8175286.93,75603.07,39840
2025-11-03,MKG,Y,Y,583200,578381.77,4818.23,0
2025-11-03,SMS,Y,Y,418110,0,3054.97,0
2025-11-04,LA.PIAZZA,Y,Y,12219515,11981029.86,87620.14,64240
2025-11-04,MKG,Y,Y,471240,468906.9,2333.1,0
2025-11-04,SMS,Y,Y,518305,0,4649.35,0
2025-11-05,LA.PIAZZA,Y,Y,10053883,9867969.11,101618.89,15180
2025-11-05,MKG,Y,Y,1669340,1648048.62,21291.38,0
2025-11-05,SMS,Y,Y,170940,0,2863.14,0
2025-11-06,LA.PIAZZA,Y,Y,12551770,12194821.31,128688.69,59540
2025-11-06,MKG,Y,Y,361515,358984.4,2530.6,0
2025-11-06,SMS,Y,Y,248325,0,1738.27,0
2025-11-07,LA.PIAZZA,Y,Y,15639655,15440311.64,132743.36,0
2025-11-07,MKG,Y,Y,986295,977499.65,8795.35,0
2025-11-07,SMS,Y,Y,80850,0,1090.97,0
2025-11-08,LA.PIAZZA,Y,Y,33749780,33354636.28,274556.72,91487
2025-11-08,MKG,Y,Y,2508815,2488039.74,20775.26,0
2025-11-08,SMS,Y,Y,933655,0,5913.98,0
2025-11-09,LA.PIAZZA,Y,Y,29998890,29467290.76,273899.24,7700
2025-11-09,MKG,Y,Y,2366700,2348891.38,17808.62,0
2025-11-09,SMS,Y,Y,1762005,0,15107.33,0
2025-11-10,LA.PIAZZA,Y,Y,10989255,10831322.34,108908.66,49024
2025-11-10,MKG,Y,Y,966735,958400.93,8334.07,0
2025-11-10,SMS,Y,Y,318780,0,2231.45,0
2025-11-11,LA.PIAZZA,Y,Y,12038665,11880245.94,126599.06,31820
2025-11-11,MKG,Y,Y,817925,811931.1,5993.9,0
2025-11-11,SMS,Y,Y,326380,0,2284.66,0
2025-11-12,LA.PIAZZA,Y,Y,10796330,10501094.32,110565.68,6820
2025-11-12,MKG,Y,Y,570570,675294.71,5000.29,0
2025-11-12,SMS,Y,Y,263340,0,1589.27,0
2025-11-13,LA.PIAZZA,Y,Y,9935970,9733967.77,97382.23,6820
2025-11-13,MKG,Y,Y,2623505,2605012.27,18492.73,0
2025-11-13,SMS,Y,Y,436500,0,2941.14,0
2025-11-14,LA.PIAZZA,Y,Y,19663830,19299670.66,164509.34,161900
2025-11-14,MKG,Y,Y,470085,430759.77,3520.23,0
2025-11-14,SMS,Y,Y,45045,0,315.31,0
2025-11-15,LA.PIAZZA,Y,Y,29449525,28743577.45,298705.55,39887
2025-11-15,MKG,Y,Y,2496585,2479624.25,16960.75,0
2025-11-15,SMS,Y,Y,901655,0,6051.12,0
2025-11-16,LA.PIAZZA,Y,Y,27427785,27326436.08,289711.92,80907
2025-11-16,MKG,Y,Y,1689280,1673257.45,16022.55,0
2025-11-16,SMS,Y,Y,912205,0,8880.38,0
2025-11-17,LA.PIAZZA,Y,Y,10681105,10392204.61,91575.39,65000
2025-11-17,MKG,Y,Y,158235,157381.46,853.54,0
2025-11-17,SMS,Y,Y,284130,0,2739.66,0
2025-11-18,LA.PIAZZA,Y,Y,10965270,10865832.26,99437.74,0
2025-11-18,MKG,Y,Y,519460,515089.99,4370.01,0
2025-11-18,SMS,Y,Y,453915,0,3177.4,0
2025-11-19,LA.PIAZZA,Y,Y,14782405,14472075.23,129619.77,44420
2025-11-19,MKG,Y,Y,981750,975045.16,6704.84,0
2025-11-19,SMS,Y,Y,329175,0,3694.41,0
2025-11-20,LA.PIAZZA,Y,Y,29645730,17133340.11,139119.89,47600
2025-11-20,MKG,Y,Y,755370,749839.87,5530.13,0
2025-11-20,SMS,Y,Y,719205,0,5216.34,0
